ACCOUNT,ASSET,LOAN_ID,INITIALBALANCE,INTERESTRATE,LOANDATE,TERM,SCORE,STATE
3004427712,COP,14993,194600,0.28,4/11/22,21,454,ERR-CANCL
3429428752,COP,14004,1099,0.28,4/11/22,21,796,ACT-2B-PAID
3224184742,COP,13158,195419,0.28,4/11/22,8,742,ACT-CASHPICKUP
3592236055,COP,14601,115435,0.28,4/11/22,21,719,ERR-CANCL
3128925540,COP,2159,272531,0.28,5/11/22,8,611,ERR-CANCL
3926423608,COP,14686,61675,0.28,5/11/22,14,734,ERR-CANCL
3053361426,COP,7186,278183,0.28,5/11/22,16,632,ACT-2B-PAID
3105785543,COP,887,289488,0.28,6/11/22,8,582,ACT-2B-PAID
3023762189,COP,13622,26936,0.28,6/11/22,21,581,ACT-CASHPICKUP
3069632786,COP,13612,150099,0.28,6/11/22,14,351,ACT-2B-PAID
3152342889,COP,2609,389012,0.28,6/11/22,16,529,ERR-CANCL
3988166349,COP,13730,179840,0.28,6/11/22,21,504,ERR-CANCL
3002500507,COP,11906,389012,0.28,6/11/22,16,702,ACT-2B-PAID
3381107994,COP,14777,82793,0.28,6/11/22,8,554,ERR-CANCL
3921490360,COP,14555,46772,0.28,6/11/22,14,845,ACT-2B-PAID
3024421628,COP,1666,295141,0.28,6/11/22,16,596,ACT-2B-PAID
3017023252,COP,4952,389012,0.28,7/11/22,16,555,ACT-PAID
3438411466,COP,13319,153022,0.28,7/11/22,21,331,ACT-CASHPICKUP
3130551899,COP,14484,102565,0.28,8/11/22,21,529,ERR-CANCL
3911113718,COP,14677,176329,0.28,8/11/22,21,431,ERR-CANCL
3399204433,COP,14949,97880,0.28,8/11/22,14,380,ACT-CASHPICKUP
3406290389,COP,14880,107435,0.28,8/11/22,21,411,ERR-CANCL
3301832237,COP,14558,247561,0.28,8/11/22,21,860,ERR-CANCL
3087122201,COP,14987,31470,0.28,8/11/22,14,764,ACT-CASHPICKUP
3265368535,COP,14123,227859,0.28,8/11/22,21,888,ACT-CASHPICKUP
3697748036,COP,13264,142526,0.28,8/11/22,21,543,ERR-CANCL
3164683096,COP,5564,389012,0.28,8/11/22,16,657,ACT-2B-PAID
3830501319,COP,13101,43271,0.28,9/11/22,21,551,ACT-CASHPICKUP
3055341287,COP,13898,239899,0.28,9/11/22,8,801,ACT-PAID
3392549716,COP,13053,4099,0.28,9/11/22,14,566,ERR-CANCL
3674596382,COP,14720,172659,0.28,9/11/22,21,601,ERR-CANCL
3929048257,COP,14119,10020,0.28,9/11/22,14,422,ERR-CANCL
3091227973,COP,14349,128893,0.28,9/11/22,21,845,ERR-CANCL
3847803790,COP,13463,22145,0.28,10/11/22,21,584,ERR-CANCL
3047898619,COP,14038,259689,0.28,10/11/22,14,302,ACT-PAID
3103927021,COP,6128,278183,0.28,10/11/22,16,520,ACT-PAID
3462528182,COP,14899,135307,0.28,10/11/22,14,900,ERR-CANCL
3023764204,COP,13856,224566,0.28,10/11/22,21,301,ACT-2B-PAID
3986966902,COP,13686,195140,0.28,10/11/22,14,711,ERR-CANCL
3220862244,COP,13657,95871,0.28,10/11/22,21,349,ACT-CASHPICKUP
3584676086,COP,14425,90934,0.28,10/11/22,21,870,ACT-PAID
3008700673,COP,6075,389012,0.28,10/11/22,16,611,ACT-2B-PAID
3396198706,COP,13862,55011,0.28,10/11/22,21,400,ERR-CANCL
3195080504,COP,13803,175582,0.28,10/11/22,14,504,ACT-CASHPICKUP
3516675059,COP,13878,178815,0.28,10/11/22,21,430,ERR-CANCL
3926235782,COP,13388,45574,0.28,10/11/22,14,475,ERR-CANCL
3821169168,COP,14765,130616,0.28,11/11/22,21,663,ACT-CASHPICKUP
3406672327,COP,13720,246329,0.28,11/11/22,21,700,ACT-CASHPICKUP
3798587106,COP,13286,169125,0.28,11/11/22,21,524,ERR-CANCL
3043916746,COP,519,356208,0.28,11/11/22,8,999,ERR-CANCL
3243197767,COP,5673,272531,0.28,11/11/22,8,567,ACT-2B-PAID
3278818567,COP,14061,231029,0.28,11/11/22,21,623,ACT-CASHPICKUP
3861878425,COP,14610,78737,0.28,11/11/22,21,767,ERR-CANCL
3257312265,COP,14895,35400,0.28,11/11/22,14,476,ERR-CANCL
3646076074,COP,13922,133555,0.28,11/11/22,14,323,ERR-CANCL
3879228289,COP,14615,253258,0.28,11/11/22,14,642,ERR-CANCL
3137614819,COP,3004,389012,0.28,11/11/22,16,619,ERR-CANCL
3645986101,COP,13007,253184,0.28,11/11/22,14,504,ERR-CANCL
3652916488,COP,13679,102100,0.28,11/11/22,21,629,ACT-CASHPICKUP
3143559256,COP,13936,224506,0.28,11/11/22,21,820,ACT-CASHPICKUP
3438430870,COP,14192,76654,0.28,11/11/22,14,447,ERR-CANCL
3215822002,COP,13108,53752,0.28,11/11/22,14,847,ACT-PAID
3865343294,COP,13361,83850,0.28,11/11/22,21,671,ACT-CASHPICKUP
3097058227,COP,13148,6454,0.28,11/11/22,21,303,ERR-CANCL
3071067313,COP,14727,35828,0.28,11/11/22,21,703,ERR-CANCL
3100111337,COP,14561,212410,0.28,11/11/22,14,466,ACT-2B-PAID
3160669502,COP,14566,255775,0.28,11/11/22,14,841,ERR-CANCL
3623255112,COP,13254,197897,0.28,11/11/22,14,386,ERR-CANCL
3841190747,COP,13666,169096,0.28,11/11/22,14,433,ERR-CANCL
3063872762,COP,13818,144571,0.28,11/11/22,21,676,ERR-CANCL
3187073774,COP,182,289488,0.28,11/11/22,8,845,ACT-PAID
3814419218,COP,14441,37290,0.28,11/11/22,21,361,ERR-CANCL
3867479197,COP,13429,63113,0.28,11/11/22,14,719,ACT-CASHPICKUP
3803957112,COP,14295,84507,0.28,11/11/22,21,743,ERR-CANCL
3005708892,COP,9952,272531,0.28,11/11/22,16,880,ACT-2B-PAID
3750616091,COP,13847,158833,0.28,11/11/22,14,438,ERR-CANCL
3775299185,COP,14673,62913,0.28,11/11/22,21,703,ACT-CASHPICKUP
3788426921,COP,13540,96853,0.28,11/11/22,8,853,ERR-CANCL
3318789507,COP,14135,83636,0.28,11/11/22,21,714,ERR-CANCL
3721308272,COP,14391,46406,0.28,11/11/22,14,461,ACT-2B-PAID
3219861246,COP,4560,389012,0.28,11/11/22,16,596,ACT-2B-PAID
3424503023,COP,14378,220146,0.28,11/11/22,21,754,ERR-CANCL
3684376482,COP,13437,91153,0.28,11/11/22,8,680,ERR-CANCL
3654615700,COP,14697,117002,0.28,11/11/22,14,805,ERR-CANCL
3173677742,COP,47,291630,0.28,11/11/22,8,801,ERR-CANCL
3141603312,COP,14510,30072,0.28,11/11/22,21,681,ERR-CANCL
3643272141,COP,13760,30950,0.28,11/11/22,14,714,ACT-CASHPICKUP
3903722819,COP,13785,199245,0.28,11/11/22,21,791,ACT-CASHPICKUP
3491438467,COP,14511,38709,0.28,11/11/22,8,814,ERR-CANCL
3122489400,COP,13038,389012,0.28,12/11/22,16,595,ACT-PAID
3364522330,COP,13877,141669,0.28,12/11/22,14,444,ACT-PAID
3494209979,COP,13755,67800,0.28,12/11/22,21,783,ERR-CANCL
3175307629,COP,14950,257613,0.28,12/11/22,14,879,ERR-CANCL
3233994451,COP,3695,389012,0.28,12/11/22,16,611,ACT-2B-PAID
3458040201,COP,13010,191606,0.28,12/11/22,21,489,ERR-CANCL
3438045982,COP,14650,205745,0.28,12/11/22,21,570,ERR-CANCL
3066753263,COP,14378,252000,0.28,12/11/22,8,562,ERR-CANCL
3797441440,COP,14185,109578,0.28,12/11/22,8,423,ACT-CASHPICKUP
3279911754,COP,13294,97147,0.28,12/11/22,14,411,ACT-CASHPICKUP
3026351526,COP,13616,93645,0.28,12/11/22,21,761,ERR-CANCL
3928522517,COP,13227,8753,0.28,12/11/22,21,877,ACT-CASHPICKUP
3963456286,COP,14768,111058,0.28,12/11/22,21,450,ERR-CANCL
3753421156,COP,13642,216204,0.28,12/11/22,21,898,ERR-CANCL
3994094538,COP,14225,102404,0.28,12/11/22,14,315,ACT-PAID
3102124460,COP,10741,266878,0.28,12/11/22,8,684,ERR-CANCL
3148126773,COP,13184,76382,0.28,12/11/22,21,516,ERR-CANCL
3260766728,COP,13402,109294,0.28,12/11/22,21,836,ACT-PAID
3080382210,COP,14472,56559,0.28,12/11/22,14,488,ERR-CANCL
3860782094,COP,14636,174408,0.28,12/11/22,21,310,ERR-CANCL
3195155601,COP,13693,80800,0.28,12/11/22,21,653,ERR-CANCL
3784353537,COP,13057,120336,0.28,12/11/22,21,875,ERR-CANCL
3857668285,COP,14752,182661,0.28,12/11/22,21,582,ACT-CASHPICKUP
3365126317,COP,14123,171565,0.28,12/11/22,21,754,ACT-2B-PAID
3006107187,COP,7044,278183,0.28,12/11/22,16,603,ACT-2B-PAID
3806644386,COP,14076,16250,0.28,12/11/22,21,605,ERR-CANCL
3158760104,COP,14515,123171,0.28,12/11/22,21,895,ACT-2B-PAID
3064214421,COP,14668,91384,0.28,12/11/22,14,745,ACT-CASHPICKUP
3390887478,COP,13865,110397,0.28,12/11/22,21,469,ERR-CANCL
3551172001,COP,13138,109925,0.28,13/11/22,21,783,ACT-PAID
3923674328,COP,13251,128919,0.28,13/11/22,21,331,ERR-CANCL
3126678416,COP,13984,80301,0.28,13/11/22,21,501,ERR-CANCL
3857241388,COP,14473,137262,0.28,13/11/22,21,369,ACT-CASHPICKUP
3927892108,COP,13581,40172,0.28,13/11/22,8,702,ACT-PAID
3010941187,COP,14144,66495,0.28,13/11/22,14,740,ERR-CANCL
3188219918,COP,1977,278183,0.28,13/11/22,16,666,ACT-2B-PAID
3269657755,COP,14311,229259,0.28,13/11/22,21,403,ERR-CANCL
3466357406,COP,14832,222143,0.28,13/11/22,21,872,ACT-CASHPICKUP
3279468213,COP,13460,136327,0.28,13/11/22,14,600,ERR-CANCL
3187073774,COP,13433,19780,0.28,13/11/22,14,845,ACT-CASHPICKUP
3208416171,COP,2293,389012,0.28,13/11/22,16,721,ACT-PAID
3206554671,COP,7694,272531,0.28,13/11/22,8,555,ACT-2B-PAID
3942625034,COP,13531,23954,0.28,13/11/22,14,372,ACT-PAID
3773147025,COP,13783,251432,0.28,13/11/22,14,566,ACT-PAID
3045586994,COP,6349,272531,0.28,13/11/22,8,568,ACT-2B-PAID
3079471752,COP,14415,168021,0.28,13/11/22,21,483,ERR-CANCL
3202540763,COP,13075,231212,0.28,13/11/22,14,593,ACT-CASHPICKUP
3138252848,COP,142,289488,0.28,13/11/22,8,877,ERR-CANCL
3274311378,COP,14478,97518,0.28,13/11/22,14,461,ERR-CANCL
3364533959,COP,13659,29578,0.28,13/11/22,14,672,ACT-CASHPICKUP
3886855511,COP,14273,190278,0.28,13/11/22,21,589,ACT-PAID
3963760908,COP,13013,156465,0.28,13/11/22,8,796,ERR-CANCL
3501846059,COP,14958,244127,0.28,13/11/22,21,535,ERR-CANCL
3532046525,COP,14692,247109,0.28,13/11/22,8,467,ERR-CANCL
3966776700,COP,14496,181252,0.28,13/11/22,21,359,ERR-CANCL
3109288955,COP,13659,133116,0.28,13/11/22,14,701,ERR-CANCL
3500826636,COP,14128,175643,0.28,13/11/22,21,621,ACT-PAID
3750636388,COP,13691,124174,0.28,13/11/22,14,448,ERR-CANCL
3138096491,COP,12432,333598,0.28,13/11/22,16,621,ACT-PAID
3164582060,COP,13658,41459,0.28,13/11/22,14,487,ERR-CANCL
3277518906,COP,13659,139666,0.28,13/11/22,21,490,ACT-2B-PAID
3221407039,COP,13817,7526,0.28,14/11/22,21,542,ACT-CASHPICKUP
3207471296,COP,14823,230560,0.28,14/11/22,21,589,ACT-PAID
3580705740,COP,13019,15940,0.28,14/11/22,21,304,ACT-2B-PAID
3349704245,COP,14070,111141,0.28,14/11/22,8,496,ACT-PAID
3521714579,COP,14954,113880,0.28,14/11/22,8,581,ACT-CASHPICKUP
3187755756,COP,11932,272531,0.28,14/11/22,8,582,ACT-2B-PAID
3429023535,COP,14420,86682,0.28,14/11/22,21,392,ERR-CANCL
3103312648,COP,6644,272531,0.28,14/11/22,8,666,ACT-2B-PAID
3236321559,COP,4450,333598,0.28,14/11/22,16,642,ACT-2B-PAID
3138252848,COP,13,291630,0.28,14/11/22,8,877,ERR-CANCL
3077735416,COP,13771,212370,0.28,14/11/22,14,792,ACT-CASHPICKUP
3288775569,COP,14448,223646,0.28,14/11/22,21,786,ERR-CANCL
3203532603,COP,3228,272531,0.28,14/11/22,8,555,ACT-PAID
3191741850,COP,13539,145654,0.28,14/11/22,21,511,ACT-PAID
3066561636,COP,14566,196365,0.28,14/11/22,14,873,ERR-CANCL
3370226631,COP,14813,214496,0.28,14/11/22,21,878,ACT-2B-PAID
3127901121,COP,12758,389012,0.28,14/11/22,16,686,ERR-CANCL
3206518800,COP,12708,389012,0.28,14/11/22,16,710,ACT-PAID
3288969971,COP,14700,226139,0.28,14/11/22,21,457,ACT-CASHPICKUP
3259551117,COP,14655,168756,0.28,14/11/22,21,687,ACT-CASHPICKUP
3115505300,COP,3637,278183,0.28,14/11/22,16,555,ACT-PAID
3012405112,COP,8535,333598,0.28,14/11/22,16,568,ACT-2B-PAID
3730931567,COP,13207,140866,0.28,14/11/22,21,357,ACT-PAID
3528845532,COP,13694,239807,0.28,14/11/22,14,545,ACT-2B-PAID
3558424211,COP,14448,149981,0.28,14/11/22,14,785,ACT-2B-PAID
3049906961,COP,13822,197413,0.28,14/11/22,21,829,ACT-CASHPICKUP
3943188207,COP,13534,155606,0.28,14/11/22,21,553,ACT-CASHPICKUP
3336686631,COP,14708,26665,0.28,14/11/22,14,608,ACT-CASHPICKUP
3392916304,COP,14984,201533,0.28,14/11/22,21,308,ACT-2B-PAID
3331487656,COP,13590,4011,0.28,14/11/22,21,747,ACT-CASHPICKUP
3768846062,COP,14670,119853,0.28,14/11/22,14,623,ERR-CANCL
3317127305,COP,13882,158967,0.28,15/11/22,21,749,ACT-2B-PAID
3224527309,COP,14765,51079,0.28,15/11/22,14,589,ACT-PAID
3431095042,COP,13091,80798,0.28,15/11/22,21,461,ACT-CASHPICKUP
3774243104,COP,14648,197730,0.28,15/11/22,21,580,ERR-CANCL
3844655900,COP,14230,33606,0.28,15/11/22,21,866,ACT-PAID
3364894827,COP,14257,252356,0.28,15/11/22,14,348,ACT-CASHPICKUP
3287941810,COP,13181,14450,0.28,15/11/22,21,639,ACT-2B-PAID
3523113536,COP,13649,169266,0.28,15/11/22,21,746,ACT-2B-PAID
3254216382,COP,14967,49722,0.28,15/11/22,21,801,ACT-2B-PAID
3640695150,COP,14370,181558,0.28,15/11/22,14,552,ACT-PAID
3437495059,COP,13199,148884,0.28,15/11/22,21,618,ACT-CASHPICKUP
3103817315,COP,2575,272531,0.28,15/11/22,8,726,ACT-2B-PAID
3154877256,COP,5431,389012,0.28,15/11/22,16,603,ACT-2B-PAID
3438464627,COP,14600,59869,0.28,15/11/22,21,696,ERR-CANCL
3213414922,COP,13315,13151,0.28,15/11/22,14,508,ERR-CANCL
3032710857,COP,14070,144294,0.28,15/11/22,21,493,ACT-CASHPICKUP
3952699516,COP,13478,115740,0.28,15/11/22,21,543,ERR-CANCL
3035049637,COP,13819,259050,0.28,15/11/22,8,776,ACT-PAID
3511292398,COP,13529,186146,0.28,15/11/22,14,418,ACT-CASHPICKUP
3578584824,COP,14976,47870,0.28,15/11/22,21,444,ERR-CANCL
3013105308,COP,4655,272531,0.28,15/11/22,8,563,ACT-2B-PAID
3638675252,COP,14009,169541,0.28,15/11/22,21,367,ERR-CANCL
3033780713,COP,13448,91617,0.28,15/11/22,14,684,ACT-CASHPICKUP
3675509855,COP,13716,100075,0.28,15/11/22,8,612,ACT-CASHPICKUP
3164506295,COP,1957,272531,0.28,15/11/22,8,536,ACT-2B-PAID
3756308173,COP,13089,41743,0.28,15/11/22,8,879,ERR-CANCL
3683547663,COP,13196,111539,0.28,15/11/22,21,570,ERR-CANCL
3319043013,COP,14542,29270,0.28,15/11/22,14,741,ERR-CANCL
3588133853,COP,14934,223252,0.28,15/11/22,8,584,ERR-CANCL
3135169464,COP,13586,128100,0.28,15/11/22,21,490,ACT-PAID
3964707246,COP,14343,215829,0.28,15/11/22,21,422,ERR-CANCL
3128506100,COP,8626,272531,0.28,15/11/22,8,573,ACT-2B-PAID
3361366560,COP,14206,223846,0.28,15/11/22,21,595,ERR-CANCL
3082800162,COP,14998,207519,0.28,15/11/22,21,896,ERR-CANCL
3527403893,COP,14565,49694,0.28,15/11/22,8,676,ERR-CANCL
3225195046,COP,2863,278183,0.28,15/11/22,16,619,ACT-PAID
3921531993,COP,13869,242424,0.28,15/11/22,14,555,ERR-CANCL
3863717620,COP,14048,13616,0.28,15/11/22,21,536,ERR-CANCL
3204311082,COP,7028,278183,0.28,15/11/22,16,598,ACT-2B-PAID
3399934814,COP,14454,249889,0.28,15/11/22,21,726,ACT-CASHPICKUP
3585458027,COP,14611,141444,0.28,15/11/22,21,591,ERR-CANCL
3005736246,COP,1544,295141,0.28,15/11/22,16,511,ACT-2B-PAID
3003560147,COP,14952,44003,0.28,15/11/22,21,325,ERR-CANCL
3919313231,COP,13742,112427,0.28,15/11/22,21,436,ERR-CANCL
3446468229,COP,14702,199646,0.28,15/11/22,14,719,ERR-CANCL
3458115496,COP,14950,201627,0.28,15/11/22,21,570,ERR-CANCL
3643216307,COP,13877,169016,0.28,16/11/22,21,706,ERR-CANCL
3763388893,COP,13467,102306,0.28,16/11/22,21,732,ERR-CANCL
3401605049,COP,13861,253716,0.28,16/11/22,14,428,ERR-CANCL
3158097714,COP,5328,389012,0.28,16/11/22,16,515,ACT-PAID
3840203575,COP,13080,160068,0.28,16/11/22,21,697,ERR-CANCL
3109181909,COP,13142,141133,0.28,16/11/22,21,520,ERR-CANCL
3495043243,COP,14049,253327,0.28,16/11/22,14,360,ERR-CANCL
3478063917,COP,14114,126782,0.28,16/11/22,21,742,ACT-CASHPICKUP
3601208901,COP,13106,93273,0.28,16/11/22,21,643,ERR-CANCL
3469145899,COP,13962,10899,0.28,16/11/22,21,454,ACT-PAID
3214796273,COP,374,295141,0.28,16/11/22,16,570,ACT-2B-PAID
3962110035,COP,14144,164288,0.28,16/11/22,21,785,ACT-2B-PAID
3185433038,COP,13939,237454,0.28,16/11/22,14,670,ERR-CANCL
3617740351,COP,13015,198979,0.28,16/11/22,14,812,ACT-PAID
3693209503,COP,13164,173749,0.28,16/11/22,14,849,ERR-CANCL
3218767372,COP,3646,333598,0.28,16/11/22,16,560,ACT-PAID
3377545126,COP,13244,175415,0.28,16/11/22,14,559,ERR-CANCL
3597170659,COP,13346,45161,0.28,16/11/22,21,477,ERR-CANCL
3822222656,COP,14647,108176,0.28,16/11/22,14,641,ERR-CANCL
3118112636,COP,6683,389012,0.28,16/11/22,16,665,ERR-CANCL
3240899900,COP,14779,165045,0.28,16/11/22,21,386,ACT-CASHPICKUP
3588678601,COP,13849,137542,0.28,16/11/22,8,316,ACT-2B-PAID
3135879649,COP,3143,272531,0.28,16/11/22,8,526,ACT-2B-PAID
3775844556,COP,13406,132802,0.28,16/11/22,14,571,ACT-CASHPICKUP
3043998173,COP,13068,211471,0.28,16/11/22,21,454,ERR-CANCL
3510906202,COP,13963,213263,0.28,16/11/22,21,736,ERR-CANCL
3045271122,COP,8955,278183,0.28,16/11/22,16,701,ACT-2B-PAID
3993365119,COP,13681,105685,0.28,16/11/22,21,539,ERR-CANCL
3395711249,COP,13735,8914,0.28,16/11/22,21,681,ERR-CANCL
3176795997,COP,14344,159038,0.28,16/11/22,14,790,ACT-CASHPICKUP
3405464602,COP,14943,110868,0.28,16/11/22,14,787,ERR-CANCL
3226705025,COP,14275,250101,0.28,16/11/22,21,332,ERR-CANCL
3097568089,COP,13299,42188,0.28,16/11/22,21,671,ACT-CASHPICKUP
3072052909,COP,13165,47592,0.28,16/11/22,21,838,ACT-CASHPICKUP
3345169224,COP,13671,149777,0.28,16/11/22,21,808,ACT-CASHPICKUP
3012241851,COP,12310,389012,0.28,16/11/22,16,701,ACT-2B-PAID
3675010765,COP,13293,253172,0.28,16/11/22,21,882,ERR-CANCL
3926100650,COP,13394,158682,0.28,16/11/22,14,644,ACT-2B-PAID
3776641183,COP,13992,33172,0.28,16/11/22,8,509,ACT-2B-PAID
3105003312,COP,4641,389012,0.28,16/11/22,16,747,ACT-2B-PAID
3065736253,COP,13483,72932,0.28,16/11/22,21,664,ERR-CANCL
3097187556,COP,14899,71155,0.28,16/11/22,8,424,ERR-CANCL
3986178484,COP,14232,1122,0.28,16/11/22,21,329,ACT-PAID
3527125454,COP,13712,94879,0.28,16/11/22,14,722,ACT-CASHPICKUP
3726378785,COP,13221,62286,0.28,16/11/22,14,626,ERR-CANCL
3783185294,COP,14901,49883,0.28,16/11/22,21,472,ACT-PAID
3243381467,COP,13478,54126,0.28,16/11/22,21,702,ACT-PAID
3500629069,COP,14312,20352,0.28,16/11/22,21,894,ACT-PAID
3112861237,COP,14699,240248,0.28,17/11/22,21,563,ERR-CANCL
3482827939,COP,14415,179274,0.28,17/11/22,14,469,ACT-PAID
3298028403,COP,14189,88243,0.28,17/11/22,21,481,ACT-2B-PAID
3472796043,COP,14729,176088,0.28,17/11/22,14,662,ERR-CANCL
3411456322,COP,14256,225432,0.28,17/11/22,14,810,ACT-2B-PAID
3758305902,COP,13120,88179,0.28,17/11/22,8,487,ERR-CANCL
3550225814,COP,14325,85832,0.28,17/11/22,14,883,ERR-CANCL
3257573848,COP,14428,203564,0.28,17/11/22,14,554,ERR-CANCL
3319567550,COP,13148,246682,0.28,17/11/22,21,386,ACT-2B-PAID
3964083307,COP,14934,63201,0.28,17/11/22,8,354,ACT-2B-PAID
3014093377,COP,1490,295141,0.28,17/11/22,16,725,ACT-PAID
3225507314,COP,14238,103545,0.28,17/11/22,14,378,ERR-CANCL
3708072897,COP,13989,154535,0.28,17/11/22,21,479,ERR-CANCL
3113822320,COP,756,428580,0.28,17/11/22,16,515,ACT-2B-PAID
3190462449,COP,13160,225436,0.28,17/11/22,14,805,ERR-CANCL
3962521447,COP,14707,239038,0.28,17/11/22,21,645,ERR-CANCL
3216637773,COP,14991,245294,0.28,17/11/22,21,607,ACT-CASHPICKUP
3638878508,COP,14956,199293,0.28,17/11/22,21,615,ACT-2B-PAID
3336744978,COP,14209,45114,0.28,17/11/22,8,304,ACT-PAID
3164667740,COP,2411,389012,0.28,17/11/22,16,582,ACT-2B-PAID
3014200018,COP,8602,389012,0.28,17/11/22,16,555,ERR-CANCL
3897380733,COP,13089,119655,0.28,17/11/22,21,687,ERR-CANCL
3040721446,COP,14613,179263,0.28,17/11/22,21,888,ERR-CANCL
3996957168,COP,13592,121567,0.28,17/11/22,14,488,ACT-PAID
3338637451,COP,14266,239836,0.28,17/11/22,21,445,ERR-CANCL
3838547352,COP,13837,248845,0.28,17/11/22,8,746,ERR-CANCL
3484743139,COP,14989,51533,0.28,17/11/22,14,404,ACT-CASHPICKUP
3407353642,COP,13762,132489,0.28,17/11/22,21,577,ACT-2B-PAID
3194646926,COP,14800,57839,0.28,17/11/22,21,733,ACT-PAID
